Date,Particulars,Voucher Type,Supplier Invoice No.,Supplier Invoice Date,GSTIN/UIN,GST Purchase,SGST,CGST,Invoice value (â‚,
29-Jan-20,Ranjit Buildcon Limited,Purchase,GJ/AS/63/19-20,29-Jan-20,24AADCR4658R1ZP,"204,000.00","18,360.00","18,360.00",240720,
01-Feb-20,Ranjit Buildcon Limited,Purchase,GJ/AS/43/19-20,27-Nov-19,24AADCR4658R1ZP,"122,820.00","11,053.80","11,053.80",144927.6,
01-Feb-20,Ranjit Buildcon Limited,Purchase,GJ/AS/44/19-20,27-Nov-19,24AADCR4658R1ZP,"178,020.00","16,021.80","16,021.80",210063.6,
01-Feb-20,Ranjit Buildcon Limited,Purchase,GJ/AS/59/19-20,10-Jan-20,24AADCR4658R1ZP,"170,160.00","15,314.40","15,314.40",200788.8,
03-Feb-20,Ranjit Buildcon Limited,Purchase,GJ/AS/64/19-20,03-Feb-20,24AADCR4658R1ZP,"170,640.00","15,357.60","15,357.60",201355.2,
02-Mar-20,Ranjit Buildcon Limited,Purchase,67,02-Mar-20,24AADCR4658R1ZP,"192,000.00","17,280.00","17,280.00",226560,
06-Mar-20,Ranjit Buildcon Limited,Purchase,68,06-Mar-20,24AADCR4658R1ZP,"182,400.00","16,416.00","16,416.00",215232,
12-Mar-20,Ranjit Buildcon Limited,Purchase,GJ/AS/70/19-20,12-Mar-20,24AADCR4658R1ZP,"165,600.00","14,904.00","14,904.00",195408,
26-Aug-19,Rinku Techhnicals,Purchase,005,26-Aug-19,24GOKPS5136F1ZP,"177,135.00","15,942.15","15,942.15",209019.3,
19-Jul-19,ROHAN INFRASTRUCTURE,Purchase,02,19-Jul-19,24AAWFR0748J1ZP,"143,520.00","12,916.80","12,916.80",169353.6,
01-Nov-19,ROHAN INFRASTRUCTURE,Purchase,04/19-20,22-Oct-19,24AAWFR0748J1ZP,"133,100.00","11,979.00","11,979.00",157058,
17-Dec-19,ROHAN INFRASTRUCTURE,Purchase,05,17-Dec-19,24AAWFR0748J1ZP,"154,790.00","13,931.10","13,931.10",182652.2,
14-Feb-20,ROHAN INFRASTRUCTURE,Purchase,07,14-Feb-20,24AAWFR0748J1ZP,"133,515.00","12,016.35","12,016.35",157547.7,
17-Mar-20,ROHAN INFRASTRUCTURE,Purchase,08,17-Mar-20,24AAWFR0748J1ZP,"171,835.00","15,465.15","15,465.15",202765.3,
15-Apr-19,Shreeji Gas Corporation,Purchase,101,15-Apr-19,24ACCFS3173N1ZV,"1,800.00",162.00,162.00,2124,
30-Apr-19,Shreeji Gas Corporation,Purchase,213,30-Apr-19,24ACCFS3173N1ZV,"2,550.00",229.50,229.50,3009,
01-Jul-19,Shreeji Gas Corporation,Purchase,444,31-May-19,24ACCFS3173N1ZV,"6,900.00",621.00,621.00,8142,
17-Jul-19,Shreeji Gas Corporation,Purchase,813,17-Jul-19,24ACCFS3173N1ZV,"4,050.00",364.50,364.50,4779,
