GSTIN of supplier,Trade/ Legal name of supplier,Invoice details,,,,Place of supply,Supply attract   reverse charge,Rate (%),Taxable value (â‚,Tax amount,,,,"Counterparty GSTR-1/5 filing date 
(DD/MM/YYYY)",ITC available,Reason for non accounting of ITC
,,Invoice number,Invoice type,Invoice date,Invoice value (â‚,,,,,Integrated tax  (â‚,Central tax (â‚,State/UT tax (â‚,Cess  (â‚,,,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901020081,R,23/08/2019,"5,294.66",Gujarat,N,18,"4,487.00",0.00,403.83,403.83,0.00,06/09/2019,Yes,
24AABFU1297N1ZT,UNIQUE CONSTRUCTION,GJ/19-20/199,R,01/08/2019,"258,646.00",Gujarat,N,18,"217,350.00",0.00,"19,561.50","19,561.50",0.00,11/09/2019,Yes,
24AABFU1297N1ZT,UNIQUE CONSTRUCTION,GJ/19-20/201,R,04/08/2019,"260,645.00",Gujarat,N,18,"219,030.00",0.00,"19,712.70","19,712.70",0.00,11/09/2019,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,1066,R,16/08/2019,"1,593.00",Gujarat,N,18,"1,350.00",0.00,122.00,122.00,0.00,09/09/2019,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,1192,R,31/08/2019,"2,478.00",Gujarat,N,18,"2,100.00",0.00,189.00,189.00,0.00,09/09/2019,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/20/19-20,R,01/09/2019,"234,702.00",Gujarat,N,18,"198,900.00",0.00,"17,901.00","17,901.00",0.00,25/11/2019,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/23/19-20,R,05/09/2019,"170,982.00",Gujarat,N,18,"144,900.00",0.00,"13,041.00","13,041.00",0.00,25/11/2019,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/24/19-20,R,06/09/2019,"351,900.00",Gujarat,N,18,"298,220.00",0.00,"26,839.80","26,839.80",0.00,25/11/2019,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/25/19-20,R,06/09/2019,"240,190.00",Gujarat,N,18,"203,550.00",0.00,"18,319.50","18,319.50",0.00,25/11/2019,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/26/19-20,R,11/09/2019,"137,872.00",Gujarat,N,18,"116,840.00",0.00,"10,515.60","10,515.60",0.00,25/11/2019,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/28/19-20,R,24/09/2019,"74,092.20",Gujarat,N,18,"62,790.00",0.00,"5,651.10","5,651.10",0.00,25/11/2019,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/29/19-20,R,26/09/2019,"169,626.00",Gujarat,N,18,"143,750.00",0.00,"12,937.50","12,937.50",0.00,25/11/2019,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,1413,R,30/09/2019,"1,593.00",Gujarat,N,18,"1,350.00",0.00,122.00,122.00,0.00,13/11/2019,Yes,
24EUXPK2184N1ZR,KHAN TRADERS,62,R,20/07/2019,"116,277.00",Gujarat,N,18,"98,540.00",0.00,"8,868.60","8,868.60",0.00,22/11/2019,Yes,
24GOKPS5136F1ZP,RINKU TECHNICALS,5,R,26/08/2019,"209,019.00",Gujarat,N,18,"177,135.00",0.00,"15,942.15","15,942.15",0.00,22/10/2019,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901025514,R,02/10/2019,"3,718.18",Gujarat,N,18,"3,151.00",0.00,283.59,283.59,0.00,08/11/2019,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901026735,R,11/10/2019,"42,212.14",Gujarat,N,18,"35,773.00",0.00,"3,219.57","3,219.57",0.00,08/11/2019,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901026192,R,07/10/2019,"3,792.52",Gujarat,N,18,"3,214.00",0.00,289.26,289.26,0.00,08/11/2019,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/31/19-20,R,17/10/2019,"138,674.00",Gujarat,N,18,"117,520.00",0.00,"10,576.80","10,576.80",0.00,27/11/2019,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/32/19-20,R,18/10/2019,"213,320.00",Gujarat,N,18,"180,780.00",0.00,"16,270.20","16,270.20",0.00,27/11/2019,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/33/19-20,R,24/10/2019,"193,780.00",Gujarat,N,18,"164,220.00",0.00,"14,779.80","14,779.80",0.00,27/11/2019,Yes,
24AAWFR0748J1ZP,ROHAN INFRASTRUCTURE,04,R,22/10/2019,"158,389.00",Gujarat,N,18,"133,100.00",0.00,"11,979.00","11,979.00",0.00,30/11/2019,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,1589,R,20/10/2019,"3,186.00",Gujarat,N,18,"2,700.00",0.00,243.00,243.00,0.00,13/11/2019,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,1688,R,31/10/2019,354.00,Gujarat,N,18,300.00,0.00,27.00,27.00,0.00,13/11/2019,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901031628,R,19/11/2019,"20,942.64",Gujarat,N,18,"17,748.00",0.00,"1,597.32","1,597.32",0.00,05/12/2019,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/35/19-20,R,07/11/2019,"197,308.00",Gujarat,N,18,"167,210.00",0.00,"15,048.90","15,048.90",0.00,01/01/2020,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/36/19-20,R,11/11/2019,"202,194.00",Gujarat,N,18,"171,350.00",0.00,"15,421.50","15,421.50",0.00,01/01/2020,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/42/19-20,R,25/11/2019,"442,500.00",Gujarat,N,18,"375,000.00",0.00,"33,750.00","33,750.00",0.00,01/01/2020,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/43/19-20,R,27/11/2019,"144,928.00",Gujarat,N,18,"122,820.00",0.00,"11,053.80","11,053.80",0.00,01/01/2020,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/44/19-20,R,29/11/2019,"210,064.00",Gujarat,N,18,"178,020.00",0.00,"16,021.80","16,021.80",0.00,01/01/2020,Yes,
24AAEFM1969J1Z3,MARUTI HARDWARE,GSTDM5498,R,16/11/2019,"1,684.00",Gujarat,N,18,"1,427.12",0.00,128.44,128.44,0.00,09/12/2019,Yes,
